id,conversation_id,created_at,date,timezone,place,tweet,language,hashtags,cashtags,user_id,user_id_str,username,name,day,hour,link,urls,photos,video,thumbnail,retweet,nlikes,nreplies,nretweets,quote_url,search,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1606515777703530497,1606303867519524864,1671858183000.0,2022-12-24 05:03:03,+0000,,@sstereo12 @fifaworldcup_es Campeonatos mundiales son los de ahora y también fueron los de antes. Todos valen 1. 1924 y 1928 fueron los únicos campeonatos mundiales organizados por la FIFA en el marco de los juegos olímpicos. De ahí que Uruguay suma las dos estrellas válidas por juegos olímpicos.,es,[],[],746174243185037312,746174243185037312,diego_casal_,Diego Casal,6,05,https://twitter.com/diego_casal_/status/1606515777703530497,[],[],0,,False,0,0,0,,FIFA WORLD CUP,,,,,,,"[{'screen_name': 'sstereo12', 'name': 'sstereo12 🇦🇷 ⭐⭐⭐ 🇦🇷 🏆', 'id': '3749882019'}, {'screen_name': 'fifaworldcup_es', 'name': 'Copa Mundial FIFA 🏆', 'id': '142296675'}]",,,,
1606515764567183360,1606280969643646976,1671858180000.0,2022-12-24 05:03:00,+0000,,@FIFAWorldCup  https://t.co/W5hpIiFbOJ,qme,[],[],1299670364,1299670364,bilalhussain314,bilal hussain maan,6,05,https://twitter.com/bilalhussain314/status/1606515764567183360,[],['https://pbs.twimg.com/tweet_video_thumb/Fkt9jzxWIAIybPF.jpg'],1,https://pbs.twimg.com/tweet_video_thumb/Fkt9jzxWIAIybPF.jpg,False,0,0,0,,FIFA WORLD CUP,,,,,,,[],,,,
1606515736343609344,1606160925240610817,1671858173000.0,2022-12-24 05:02:53,+0000,,"@fifaworldcup_es La atajada del Dibu, valió todo",es,[],[],163333952,163333952,ALEX51189,Alexandro,6,05,https://twitter.com/ALEX51189/status/1606515736343609344,[],[],0,,False,0,0,0,,FIFA WORLD CUP,,,,,,,"[{'screen_name': 'fifaworldcup_es', 'name': 'Copa Mundial FIFA 🏆', 'id': '142296675'}]",,,,
1606515728668295168,1606515728668295168,1671858171000.0,2022-12-24 05:02:51,+0000,,"Kaka di Japri, Edisi Spesial Natal  Sabtu Jam 17.00 hanya di Nusantara Tv Sahabat Kita - #japri #kaka #Brazil #ACMilan #RealMadrid #milan #madrid #BallonDor #natal2022 #XMAS2022  #MerryChristmas2022 #FIFAWorldCup #WorldCup  #programtv #arena #nusantaratv  https://t.co/8DNmNySq3q",in,"['japri', 'kaka', 'brazil', 'acmilan', 'realmadrid', 'milan', 'madrid', 'ballondor', 'natal2022', 'xmas2022', 'merrychristmas2022', 'fifaworldcup', 'worldcup', 'programtv', 'arena', 'nusantaratv']",[],1465529152136568833,1465529152136568833,officialntv_,Official NusantaraTv,6,05,https://twitter.com/officialntv_/status/1606515728668295168,[],[],1,https://pbs.twimg.com/ext_tw_video_thumb/1606514736321138689/pu/img/J3zUEtyUPhlDJfBl.jpg,False,0,0,0,,FIFA WORLD CUP,,,,,,,[],,,,
1606515690684715008,1606280969643646976,1671858162000.0,2022-12-24 05:02:42,+0000,,@FIFAWorldCup ☠️🤫🏳️‍🌈🫢💰💰💰💰💰💰💰💰💰💰,und,[],[],4734141681,4734141681,Green214021,Lucas Flibau 🐝🌋🚀🇸🇻,6,05,https://twitter.com/Green214021/status/1606515690684715008,[],[],0,,False,0,0,0,,FIFA WORLD CUP,,,,,,,"[{'screen_name': 'FIFAWorldCup', 'name': 'FIFA World Cup', 'id': '138372303'}]",,,,
1606515650436149249,1606515650436149249,1671858153000.0,2022-12-24 05:02:33,+0000,,"I am so amazed by #Jungkook of @BTS_twt's new single ""Dreamers"" for the #FIFAWorldCup         방탄소년단 정국 'Dreamers' 13일 만에 '틱톡' 동영상 100만개 돌파→K팝 아티스트 음원 '최단'…'초특급 인기' | 연예가화제 : 네이트 연예  https://t.co/OjRBpWMVEp",ko,"['jungkook', 'fifaworldcup']",[],1369301710385131540,1369301710385131540,kookphoria_jjk,🐰꾹포리아.97🐰ᴰʳᵉᵃᵐᵉʳˢ,6,05,https://twitter.com/kookphoria_jjk/status/1606515650436149249,['https://zul.im/0NiQAb'],[],0,,False,2,0,2,,FIFA WORLD CUP,,,,,,,[],,,,
1606515610069962752,1606160925240610817,1671858143000.0,2022-12-24 05:02:23,+0000,,@fifaworldcup_es  https://t.co/1G3y7O2J45,qme,[],[],186723252,186723252,Damiirc,Damiirc,6,05,https://twitter.com/Damiirc/status/1606515610069962752,[],['https://pbs.twimg.com/media/Fkt9bvkXEAEAvOy.jpg'],1,https://pbs.twimg.com/media/Fkt9bvkXEAEAvOy.jpg,False,0,0,0,,FIFA WORLD CUP,,,,,,,[],,,,
1606515585093074945,1606515585093074945,1671858137000.0,2022-12-24 05:02:17,+0000,,"I’m in love with #Jungkook of @BTS_twt's new single ""Dreamers"" for the #FIFAWorldCup           #Dreamers2022  '황금 보컬 파워' 방탄소년단 정국, '스포티파이' 역대 한국 가수 '최단' 7억 스트리밍 신기록 | 연예가화제 : 네이트 연예  https://t.co/qehv10i9uY",ko,"['jungkook', 'fifaworldcup', 'dreamers2022']",[],1369301710385131540,1369301710385131540,kookphoria_jjk,🐰꾹포리아.97🐰ᴰʳᵉᵃᵐᵉʳˢ,6,05,https://twitter.com/kookphoria_jjk/status/1606515585093074945,['https://zul.im/0NiQAZ'],[],0,,False,2,0,2,,FIFA WORLD CUP,,,,,,,[],,,,
1606515516663017472,1606485061565661184,1671858121000.0,2022-12-24 05:02:01,+0000,,@FIFAWorldCup_JP 日本代表の笑顔！,ja,[],[],1488071836697268224,1488071836697268224,ladanse848,まりも,6,05,https://twitter.com/ladanse848/status/1606515516663017472,[],[],0,,False,0,0,0,,FIFA WORLD CUP,,,,,,,"[{'screen_name': 'FIFAWorldCup_JP', 'name': 'FIFAワールドカップ 🏆', 'id': '1549674520713510912'}]",,,,
1606515472488402944,1606515472488402944,1671858110000.0,2022-12-24 05:01:50,+0000,,World Cup 2022: Fifa investigating Salt Bae's 'undue access' to pitch after final #GhNewsSummary  https://t.co/X8oK651Ipn  Source: MyJoyOnline,en,['ghnewssummary'],[],1205842090321731584,1205842090321731584,ghnewssummary,Ghana News Summary,6,05,https://twitter.com/ghnewssummary/status/1606515472488402944,['https://www.ghananewssummary.com/news-item/ff745b32ef654799bbfc084b24aaa0520067bd31afffb34fcec5d6ca6feaa452'],[],0,,False,0,0,0,,FIFA WORLD CUP,,,,,,,[],,,,
